4880,521
766,1026
766,8003
1515,3531
7107,3143
305,3531
2605,4482
10109,3787
10109,3787
6239,1853
4738,4977
3787,1853
1345,1853
7541,953
8494,305
2004,953
3787,1853
1172,5226
7003,10135
6345,7545
1068,7545
7244,7217
1349,1872
7390,4041
7390,4789
5121,5634
8098,5400
2103,10370
9231,5801
4425,2531
5876,1537
781,6507
9995,2524
5955,2348
3947,4256
6768,1327
7954,2992
3529,9418
7831,4290
1352,4673
7182,4993
9620,4909
951,3388
10326,2838
10326,4666
8116,9496
10184,8566
1356,1449
957,9669
4430,2625
627,5938
795,2906
8480,1632
9679,8822
3161,9971
423,4582
1726,4029
4433,5239
6341,625
7839,1797
2675,7836
10460,4029
2751,4387
4133,5309
