nomination_id;nomination_title;nomination_year;nomination_number;nomination_num_nominees;nomination_num_nominators;nomination_category_from_title;nomination_motivation;nomination_comments;other_information;nominator_1_name;nominator_1_id;nominator_1_gender;nominator_1_year_birth;nominator_1_year_death;nominator_1_profession;nominator_1_university;nominator_1_city;nominator_1_country;nominator_1_comments;nominator_1_awarded_prizes;nominee_1_name;nominee_1_id;nominee_1_gender;nominee_1_year_birth;nominee_1_year_death;nominee_1_profession;nominee_1_university;nominee_1_city;nominee_1_country;nominee_1_awarded_prizes;nominee_2_name;nominee_2_id;nominee_2_gender;nominee_2_year_birth;nominee_2_year_death;nominee_2_profession;nominee_2_university;nominee_2_city;nominee_2_country;nominee_2_awarded_prizes;nominee_3_name;nominee_3_id;nominee_3_gender;nominee_3_year_birth;nominee_3_year_death;nominee_3_profession;nominee_3_university;nominee_3_city;nominee_3_country;nominee_3_awarded_prizes;nominee_4_name;nominee_4_id;nominee_4_gender;nominee_4_year_birth;nominee_4_year_death;nominee_4_profession;nominee_4_university;nominee_4_city;nominee_4_country;nominee_4_awarded_prizes;nominee_5_name;nominee_5_id;nominee_5_gender;nominee_5_year_birth;nominee_5_year_death;nominee_5_profession;nominee_5_university;nominee_5_city;nominee_5_country;nominee_5_awarded_prizes;nominee_6_name;nominee_6_id;nominee_6_gender;nominee_6_year_birth;nominee_6_year_death;nominee_6_profession;nominee_6_university;nominee_6_city;nominee_6_country;nominee_6_awarded_prizes;nominee_7_name;nominee_7_id;nominee_7_gender;nominee_7_year_birth;nominee_7_year_death;nominee_7_profession;nominee_7_university;nominee_7_city;nominee_7_country;nominee_7_awarded_prizes;nominee_8_name;nominee_8_id;nominee_8_gender;nominee_8_year_birth;nominee_8_year_death;nominee_8_profession;nominee_8_university;nominee_8_city;nominee_8_country;nominee_8_awarded_prizes;nominee_9_name;nominee_9_id;nominee_9_gender;nominee_9_year_birth;nominee_9_year_death;nominee_9_profession;nominee_9_university;nominee_9_city;nominee_9_country;nominee_9_awarded_prizes
16610;Nomination for Nobel Prize in Literature;1957;43 - 0;1;1;Literature;;;;Charles Hyart;12348;M;;;Professor of Russian Language;University of Liège;;FRANCE (FR);;;Maria Dabrowska;2097;F;1889;1965;Writer, novelist, essayist, journalist and playwright;;;POLAND (PL);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16611;Nomination for Nobel Prize in Literature;1957;44 - 0;1;1;Literature;;;;Charles Hyart;12348;M;;;Professor of Russian Language;University of Liège;;FRANCE (FR);;;Jan Parandowski;6983;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16612;Nomination for Nobel Prize in Literature;1957;45 - 0;1;1;Literature;;;;Charles Hyart;12348;M;;;Professor of Russian Language;University of Liège;;FRANCE (FR);;;Jaroslaw Iwaszkiewicz;12349;M;1894;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16613;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16614;Nomination for Nobel Prize in Literature;1957;47 - 0;1;1;Literature;;;;Harry Martinson;5958;M;1904;1978;;The Swedish Academy (Svenska Akademien);;SWEDEN (SE);;Literature 1974;Boris L Pasternak;7016;M;1890;1960;;;;U.S.S.R. (SU) now RUSSIAN FEDERATION (RU);Literature 1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16615;Nomination for Nobel Prize in Literature;1957;48 - 0;1;1;Literature;;;;Andersson;12353;M;;;;;;;;;Ezra Pound;12112;M;1885;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16616;Nomination for Nobel Prize in Literature;1957;49 - 0;1;1;Literature;;;;Claude Backvis;12327;M;;;Professor of Slavic literature;University of Brussels;Brussels;BELGIUM (BE);;;Arnold Toynbee;9327;M;1889;1975;Historian, philosopher of history;;;UNITED KINGDOM (GB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16617;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16618;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16619;Nomination for Nobel Prize in Literature;1958;3 - 0;1;1;Literature;;;;Hermann Hesse;4133;M;1877;1962;;;;SWITZERLAND (CH);;Literature 1946;Martin Buber;1421;M;1878;1965;;;;ISRAEL (IL);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16620;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16621;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16622;Nomination for Nobel Prize in Literature;1958;6 - 0;1;1;Literature;;;nominator_1_State: NY;Walter MacKellar;12372;M;;;Professor of English;New York University;New York;UNITED STATES (US);;;Edith L Sitwell;12107;F;1887;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16623;Nomination for Nobel Prize in Literature;1958;7 - 0;1;1;Literature;;;;Pierre-Henri Simon;12272;M;1903;1972;Professor of French literature;University of Fribourg;Fribourg;SWITZERLAND (CH);;;Gonzague de Reynold;12271;M;1880;1970;;;;SWITZERLAND (CH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16624;Nomination for Nobel Prize in Literature;1958;8 - 0;1;1;Literature;;;;Pearl S. Buck;1432;F;1892;1973;;;;;;Literature 1938;Junichiro Tanizaki;12374;M;1886;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16625;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16626;Nomination for Nobel Prize in Literature;1958;10 - 0;1;1;Literature;;;;N K Sidhanta;11476;;;;Vice chancellor;University of Calcutta;Calcutta;INDIA (IN);;;Sarvepalli Radhakrishnan;7525;M;1888;1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16627;Nomination for Nobel Prize in Literature;1958;11 - 0;1;1;Literature;;;;Naoshiro Tsuji;12377;M;1899;1979;Professor of Sanskrit;University of Tokyo;Tokyo;JAPAN (JP);;;Janzaburo Nihiwaki;12376;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
