NameFirst;NameLast;CountryOfBirth;ContinentOfBirth;CountryOfOrganisation;ContinentOfOrganisation;CountryOfDeath;ContinentOfDeath;Color
Mario;Vargas Llosa;Peru;South America;None;None;None;None;1
Adolfo;Pérez Esquivel;Argentina;South America;None;None;None;None;1
Juan Manuel;Santos;Colombia;South America;None;None;None;None;1
Carlos Filipe Ximenes;Belo;East Timor;Oceania;None;None;None;None;2
J. Robin;Warren;Australia;Oceania;None;None;None;None;2
José;Ramos-Horta;East Timor;Oceania;None;None;None;None;2
Kip S.;Thorne;USA;North America;None;None;None;None;4
Jody;Williams;USA;North America;None;None;None;None;4
Oscar;Arias Sánchez;Costa Rica;North America;None;None;None;None;4
Alice;Munro;Canada;North America;None;None;None;None;4
Barack;Obama;USA;North America;None;None;None;None;4
Jimmy;Carter;USA;North America;None;None;None;None;4
Rigoberta;Menchú Tum;Guatemala;North America;None;None;None;None;4
Barry C.;Barish;USA;North America;None;None;None;None;4
Bob;Dylan;USA;North America;None;None;None;None;4
Al;Gore;USA;North America;None;None;None;None;4
Louise;Glück;USA;North America;None;None;None;None;4
Elfriede;Jelinek;Austria;Europe;None;None;None;None;3
Jean-Marie Gustave;Le Clézio;France;Europe;None;None;None;None;3
Patrick;Modiano;France;Europe;None;None;None;None;3
Rainer;Weiss;Germany;Europe;None;None;None;None;3
Herta;Müller;Romania;Europe;None;None;None;None;3
Lech;Walesa;Poland;Europe;None;None;None;None;3
Svetlana;Alexievich;Ukraine;Europe;None;None;None;None;3
Peter;Handke;Austria;Europe;None;None;None;None;3
Henry;Kissinger;Germany;Europe;None;None;None;None;3
Olga;Tokarczuk;Poland;Europe;None;None;None;None;3
Martti;Ahtisaari;Finland;Europe;None;None;None;None;3
Orhan;Pamuk;Turkey;Europe;None;None;None;None;3
Annie;Ernaux;France;Europe;None;None;None;None;3
Mairead;Corrigan;Northern Ireland;Europe;None;None;None;None;3
Tawakkol;Karman;Yemen;Asia;None;None;None;None;6
Maria;Ressa;Philippines;Asia;None;None;None;None;6
Dmitry;Muratov;USSR (now Russia);Asia;None;None;None;None;6
Ales;Bialiatski;Russia;Asia;None;None;None;None;6
Aung San Suu Kyi;;Burma (now Myanmar);Asia;None;None;None;None;6
Malala;Yousafzai;Pakistan;Asia;None;None;None;None;6
Kim;Dae-jung;Korea (now South Korea);Asia;None;None;None;None;6
Nadia;Murad;Iraq;Asia;None;None;None;None;6
Mo;Yan;China;Asia;None;None;None;None;6
Lhamo;Thondup;Tibet (now China);Asia;None;None;None;None;6
Kazuo;Ishiguro;Japan;Asia;None;None;None;None;6
Kailash;Satyarthi;India;Asia;None;None;None;None;6
Xingjian;Gao;China;Asia;None;None;None;None;6
Shirin;Ebadi;Iran;Asia;None;None;None;None;6
Muhammad;Yunus;British India (now Bangladesh);Asia;None;None;None;None;6
Ellen;Johnson Sirleaf;Liberia;Africa;None;None;None;None;5
Abiy;Ahmed Ali;Ethiopia;Africa;None;None;None;None;5
Leymah;Gbowee;Liberia;Africa;None;None;None;None;5
J. M.;Coetzee;South Africa;Africa;None;None;None;None;5
Denis;Mukwege;Belgian Congo (now Democratic Republic of the Congo);Africa;None;None;None;None;5
Wole;Soyinka;Nigeria;Africa;None;None;None;None;5
Mohamed;ElBaradei;Egypt;Africa;None;None;None;None;5
Barry J.;Marshall;Australia;Oceania;Australia;Oceania;None;None;2
Brian P.;Schmidt;USA;North America;Australia;Oceania;None;None;4
Peter C.;Doherty;Australia;Oceania;USA;North America;None;None;2
Elizabeth H.;Blackburn;Australia;Oceania;USA;North America;None;None;2
Daniel L.;McFadden;USA;North America;USA;North America;None;None;4
Stanley B.;Prusiner;USA;North America;USA;North America;None;None;4
Andrew Z.;Fire;USA;North America;USA;North America;None;None;4
Craig C.;Mello;USA;North America;USA;North America;None;None;4
Eric S.;Maskin;USA;North America;USA;North America;None;None;4
Phillip A.;Sharp;USA;North America;USA;North America;None;None;4
David M.;Lee;USA;North America;USA;North America;None;None;4
James;Watson;USA;North America;USA;North America;None;None;4
George A.;Akerlof;USA;North America;USA;North America;None;None;4
Douglas;Diamond;USA;North America;USA;North America;None;None;4
Robert J.;Shiller;USA;North America;USA;North America;None;None;4
Myron;Scholes;Canada;North America;USA;North America;None;None;4
Arthur B.;McDonald;Canada;North America;Canada;North America;None;None;4
Jerome I.;Friedman;USA;North America;USA;North America;None;None;4
Robert C.;Merton;USA;North America;USA;North America;None;None;4
David J.;Gross;USA;North America;USA;North America;None;None;4
Ben;Bernanke;USA;North America;USA;North America;None;None;4
Thomas R.;Cech;USA;North America;USA;North America;None;None;4
Russell A.;Hulse;USA;North America;USA;North America;None;None;4
David J.;Wineland;USA;North America;USA;North America;None;None;4
Carol W.;Greider;USA;North America;USA;North America;None;None;4
James P.;Allison;USA;North America;USA;North America;None;None;4
Frances H.;Arnold;USA;North America;USA;North America;None;None;4
Barry;Sharpless;USA;North America;USA;North America;None;None;4
Joseph L.;Goldstein;USA;North America;USA;North America;None;None;4
Linda B.;Buck;USA;North America;USA;North America;None;None;4
Rudolph A.;Marcus;Canada;North America;USA;North America;None;None;4
Sheldon;Glashow;USA;North America;USA;North America;None;None;4
Steven;Chu;USA;North America;USA;North America;None;None;4
Michael;Rosbash;USA;North America;USA;North America;None;None;4
George F.;Smoot;USA;North America;USA;North America;None;None;4
Adam G.;Riess;USA;North America;USA;North America;None;None;4
Robert B.;Laughlin;USA;North America;USA;North America;None;None;4
Donna;Strickland;Canada;North America;Canada;North America;None;None;4
Martin;Chalfie;USA;North America;USA;North America;None;None;4
Carolyn;Bertozzi;USA;North America;USA;North America;None;None;4
John L.;Hall;USA;North America;USA;North America;None;None;4
Jennifer A.;Doudna;USA;North America;USA;North America;None;None;4
Roger B.;Myerson;USA;North America;USA;North America;None;None;4
Alvin E.;Roth;USA;North America;USA;North America;None;None;4
J. Michael;Bishop;USA;North America;USA;North America;None;None;4
Edmund S.;Phelps;USA;North America;USA;North America;None;None;4
William D.;Phillips;USA;North America;USA;North America;None;None;4
George E.;Smith;USA;North America;USA;North America;None;None;4
Robert F.;Engle III;USA;North America;USA;North America;None;None;4
;;USA;North America;USA;North America;None;None;4
Andrea;Ghez;USA;North America;USA;North America;None;None;4
Roger D.;Kornberg;USA;North America;USA;North America;None;None;4
Michael;Kremer;USA;North America;USA;North America;None;None;4
David;Card;Canada;North America;USA;North America;None;None;4
Robert J.;Lefkowitz;USA;North America;USA;North America;None;None;4
David;Julius;USA;North America;USA;North America;None;None;4
Frank;Wilczek;USA;North America;USA;North America;None;None;4
Richard R.;Schrock;USA;North America;USA;North America;None;None;4
Alan;Heeger;USA;North America;USA;North America;None;None;4
Paul;Krugman;USA;North America;USA;North America;None;None;4
Eugene F.;Fama;USA;North America;USA;North America;None;None;4
Paul;Modrich;USA;North America;USA;North America;None;None;4
Paul;Milgrom;USA;North America;USA;North America;None;None;4
Richard;Axel;USA;North America;USA;North America;None;None;4
Michael S.;Brown;USA;North America;USA;North America;None;None;4
Walter;Gilbert;USA;North America;USA;North America;None;None;4
Robert;Wilson;USA;North America;USA;North America;None;None;4
Joseph E.;Stiglitz;USA;North America;USA;North America;None;None;4
George P.;Smith;USA;North America;USA;North America;None;None;4
Louis J.;Ignarro;USA;North America;USA;North America;None;None;4
Robert Woodrow;Wilson;USA;North America;USA;North America;None;None;4
Dudley R.;Herschbach;USA;North America;USA;North America;None;None;4
Harvey;Alter;USA;North America;USA;North America;None;None;4
Carl;Wieman;USA;North America;USA;North America;None;None;4
Christopher A.;Sims;USA;North America;USA;North America;None;None;4
Robert M.;Solow;USA;North America;USA;North America;None;None;4
William F.;Sharpe;USA;North America;USA;North America;None;None;4
Oliver E.;Williamson;USA;North America;USA;North America;None;None;4
Michael W.;Young;USA;North America;USA;North America;None;None;4
Harold E.;Varmus;USA;North America;USA;North America;None;None;4
Eric F.;Wieschaus;USA;North America;USA;North America;None;None;4
Richard H.;Thaler;USA;North America;USA;North America;None;None;4
William;Kaelin;USA;North America;USA;North America;None;None;4
Brian;Kobilka;USA;North America;USA;North America;None;None;4
Leon N.;Cooper;USA;North America;USA;North America;None;None;4
Bruce A.;Beutler;USA;North America;USA;North America;None;None;4
Randy W.;Schekman;USA;North America;USA;North America;None;None;4
Elias James;Corey;USA;North America;USA;North America;None;None;4
William D.;Nordhaus;USA;North America;USA;North America;None;None;4
Vernon L.;Smith;USA;North America;USA;North America;None;None;4
Hamilton O.;Smith;USA;North America;USA;North America;None;None;4
Thomas J.;Sargent;USA;North America;USA;North America;None;None;4
William E.;Moerner;USA;North America;USA;North America;None;None;4
Paul M.;Romer;USA;North America;USA;North America;None;None;4
Joshua;Angrist;USA;North America;USA;North America;None;None;4
Saul;Perlmutter;USA;North America;USA;North America;None;None;4
Gregg;Semenza;USA;North America;USA;North America;None;None;4
Joseph H.;Taylor Jr.;USA;North America;USA;North America;None;None;4
A. Michael;Spence;USA;North America;USA;North America;None;None;4
John C.;Mather;USA;North America;USA;North America;None;None;4
Douglas D.;Osheroff;USA;North America;USA;North America;None;None;4
David;Baltimore;USA;North America;USA;North America;None;None;4
Peter A.;Diamond;USA;North America;USA;North America;None;None;4
Lars Peter;Hansen;USA;North America;USA;North America;None;None;4
Barry;Sharpless;USA;North America;USA;North America;None;None;4
Ferid;Murad;USA;North America;USA;North America;None;None;4
James J.;Heckman;USA;North America;USA;North America;None;None;4
H. Robert;Horvitz;USA;North America;USA;North America;None;None;4
Peter;Agre;USA;North America;USA;North America;None;None;4
Roderick;MacKinnon;USA;North America;USA;North America;None;None;4
Philip;Dybvig;USA;North America;USA;North America;None;None;4
Charles;Rice;USA;North America;USA;North America;None;None;4
Eric;Cornell;USA;North America;USA;North America;None;None;4
H. David;Politzer;USA;North America;USA;North America;None;None;4
Leland;Hartwell;USA;North America;USA;North America;None;None;4
Samuel C.C.;Ting;USA;North America;USA;North America;None;None;4
James E.;Rothman;USA;North America;USA;North America;None;None;4
Eric;Betzig;USA;North America;USA;North America;None;None;4
Jeffrey C.;Hall;USA;North America;USA;North America;None;None;4
James;Peebles;Canada;North America;USA;North America;None;None;4
Michael;Houghton;United Kingdom;Europe;Canada;North America;None;None;3
F. Duncan M.;Haldane;United Kingdom;Europe;USA;North America;None;None;3
Aziz;Sancar;Turkey;Europe;USA;North America;None;None;3
Herbert;Kroemer;Germany;Europe;USA;North America;None;None;3
Horst L.;Störmer;West Germany (now Germany);Europe;USA;North America;None;None;3
Johann;Deisenhofer;Germany;Europe;USA;North America;None;None;3
Bengt;Holmström;Finland;Europe;USA;North America;None;None;3
Sir J. Fraser;Stoddart;United Kingdom;Europe;USA;North America;None;None;3
John C.;Polanyi;Germany;Europe;Canada;North America;None;None;3
Andrew V.;Schally;Poland (now Lithuania);Europe;USA;North America;None;None;3
Ivar;Giaever;Norway;Europe;USA;North America;None;None;3
Jack W.;Szostak;United Kingdom;Europe;USA;North America;None;None;3
Thomas C.;Südhof;Germany;Europe;USA;North America;None;None;3
Anthony J.;Leggett;United Kingdom;Europe;USA;North America;None;None;3
Oliver;Hart;United Kingdom;Europe;USA;North America;None;None;3
Joachim;Frank;Germany;Europe;USA;North America;None;None;3
Roald;Hoffmann;Poland (now Ukraine);Europe;USA;North America;None;None;3
Eric;Kandel;Austria;Europe;USA;North America;None;None;3
David;MacMillan;United Kingdom;Europe;USA;North America;None;None;3
Wolfgang;Ketterle;West Germany (now Germany);Europe;USA;North America;None;None;3
M. Stanley;Whittingham;United Kingdom;Europe;USA;North America;None;None;3
Angus;Deaton;Scotland;Europe;USA;North America;None;None;3
Mario R.;Capecchi;Italy;Europe;USA;North America;None;None;3
Esther;Duflo;France;Europe;USA;North America;None;None;3
Torsten N.;Wiesel;Sweden;Europe;USA;North America;None;None;3
J. Michael;Kosterlitz;United Kingdom;Europe;USA;North America;None;None;3
Arno;Penzias;Germany;Europe;USA;North America;None;None;3
William C.;Campbell;Ireland;Europe;USA;North America;None;None;3
Finn E.;Kydland;Norway;Europe;USA;North America;None;None;3
Guido;Imbens;the Netherlands;Europe;USA;North America;None;None;3
Richard J.;Roberts;United Kingdom;Europe;USA;North America;None;None;3
Roger;Guillemin;France;Europe;USA;North America;None;None;3
Arieh;Warshel;British Mandate of Palestine (now Israel);Asia;USA;North America;None;None;6
Shuji;Nakamura;Japan;Asia;USA;North America;None;None;6
Abhijit;Banerjee;India;Asia;USA;North America;None;None;6
Tsung-Dao;Lee;China;Asia;USA;North America;None;None;6
Chen Ning;Yang;China;Asia;USA;North America;None;None;6
Susumu;Tonegawa;Japan;Asia;USA;North America;None;None;6
Ardem;Patapoutian;Lebanon;Asia;USA;North America;None;None;6
Syukuro;Manabe;Japan;Asia;USA;North America;None;None;6
Daniel;Kahneman;British Mandate of Palestine (now Israel);Asia;USA;North America;None;None;6
Leo;Esaki;Japan;Asia;USA;North America;None;None;6
Yuan T.;Lee;Taiwan;Asia;USA;North America;None;None;6
Daniel C.;Tsui;China;Asia;USA;North America;None;None;6
Alexei;Abrikosov;USSR (now Russia);Asia;USA;North America;None;None;6
Michael;Levitt;South Africa;Africa;USA;North America;None;None;5
John;Cornforth;Australia;Oceania;United Kingdom;Europe;None;None;2
John;O'Keefe;USA;North America;United Kingdom;Europe;None;None;4
Ben R.;Mottelson;USA;North America;Denmark;Europe;None;None;4
Gerd;Binnig;West Germany (now Germany);Europe;Switzerland;Europe;None;None;3
Didier;Queloz;Switzerland;Europe;Switzerland;Europe;None;None;3
Tomas;Lindahl;Sweden;Europe;United Kingdom;Europe;None;None;3
François;Englert;Belgium;Europe;Belgium;Europe;None;None;3
Tim;Hunt;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Martin;Karplus;Austria;Europe;France;Europe;None;None;3
Klaus;Hasselmann;Germany;Europe;Germany;Europe;None;None;3
Sir Gregory P.;Winter;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Brian D.;Josephson;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Jean-Pierre;Sauvage;France;Europe;France;Europe;None;None;3
Morten;Meldal;Denmark;Europe;Denmark;Europe;None;None;3
Robert;Huber;Germany;Europe;Germany;Europe;None;None;3
Gerardus;'t Hooft;the Netherlands;Europe;the Netherlands;Europe;None;None;3
Peter;Ratcliffe;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Roger;Penrose;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Alain;Aspect;France;Europe;France;Europe;None;None;3
Rolf M.;Zinkernagel;Switzerland;Europe;Switzerland;Europe;None;None;3
Klaus;von Klitzing;German-occupied Poland (now Poland);Europe;Germany;Europe;None;None;3
Bernard L.;Feringa;the Netherlands;Europe;the Netherlands;Europe;None;None;3
May-Britt;Moser;Norway;Europe;Norway;Europe;None;None;3
Edvard I.;Moser;Norway;Europe;Norway;Europe;None;None;3
Jean-Marie;Lehn;France;Europe;France;Europe;None;None;3
John E.;Walker;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Reinhard;Genzel;Germany;Europe;Germany;Europe;None;None;3
Bert;Sakmann;Germany;Europe;Germany;Europe;None;None;3
Sir Peter;Mansfield;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Erwin;Neher;Germany;Europe;Germany;Europe;None;None;3
Christiane;Nüsslein-Volhard;Germany;Europe;Germany;Europe;None;None;3
Theodor W.;Hänsch;Germany;Europe;Germany;Europe;None;None;3
Michel;Mayor;Switzerland;Europe;Switzerland;Europe;None;None;3
Anton;Zeilinger;Austria;Europe;Austria;Europe;None;None;3
Jules A.;Hoffmann;Luxembourg;Europe;France;Europe;None;None;3
Peter;Higgs;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Giorgio;Parisi;Italy;Europe;Italy;Europe;None;None;3
Benjamin;List;Germany;Europe;Germany;Europe;None;None;3
Rudolf;Mössbauer;Germany;Europe;Germany;Europe;None;None;3
Antony;Hewish;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Stefan W.;Hell;Romania;Europe;Germany;Europe;None;None;3
J. Georg;Bednorz;West Germany (now Germany);Europe;Switzerland;Europe;None;None;3
Sir James W.;Black;Scotland;Europe;United Kingdom;Europe;None;None;3
Carlo;Rubbia;Italy;Europe;Switzerland;Europe;None;None;3
Jacques;Dubochet;Switzerland;Europe;Switzerland;Europe;None;None;3
Kurt;Wüthrich;Switzerland;Europe;Switzerland;Europe;None;None;3
Richard;Henderson;Scotland;Europe;United Kingdom;Europe;None;None;3
Aaron;Klug;Lithuania;Europe;United Kingdom;Europe;None;None;3
Sir John B.;Gurdon;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Bengt I.;Samuelsson;Sweden;Europe;Sweden;Europe;None;None;3
Sir Martin J.;Evans;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Albert;Fert;France;Europe;France;Europe;None;None;3
Emmanuelle;Charpentier;France;Europe;Germany;Europe;None;None;3
Svante;Pääbo;Sweden;Europe;Germany;Europe;None;None;3
Françoise;Barré-Sinoussi;France;Europe;France;Europe;None;None;3
Sir Paul;Nurse;United Kingdom;Europe;United Kingdom;Europe;None;None;3
Hartmut;Michel;West Germany (now Germany);Europe;Germany;Europe;None;None;3
Gerhard;Ertl;Germany;Europe;Germany;Europe;None;None;3
Gabriel;Lippmann;Luxembourg;Europe;France;Europe;None;None;3
Jean;Tirole;France;Europe;France;Europe;None;None;3
Gérard;Mourou;France;Europe;France;Europe;None;None;3
Werner;Arber;Switzerland;Europe;Switzerland;Europe;None;None;3
Charles K.;Kao;China;Asia;United Kingdom;Europe;None;None;6
Amartya;Sen;India;Asia;United Kingdom;Europe;None;None;6
Konstantin;Novoselov;Russia;Asia;United Kingdom;Europe;None;None;6
Venkatraman;Ramakrishnan;India;Asia;United Kingdom;Europe;None;None;6
Andre;Geim;Russia;Asia;United Kingdom;Europe;None;None;6
Christopher A.;Pissarides;Cyprus;Asia;United Kingdom;Europe;None;None;6
Claude;Cohen-Tannoudji;French Algeria (now Algeria);Africa;France;Europe;None;None;5
Serge;Haroche;Morocco;Africa;France;Europe;None;None;5
Avram;Hershko;Hungary;Europe;Israel;Asia;None;None;3
Robert J.;Aumann;Germany;Europe;Israel;Asia;None;None;3
Tasuku;Honjo;Japan;Asia;Japan;Asia;None;None;6
Akira;Yoshino;Japan;Asia;Japan;Asia;None;None;6
Aaron;Ciechanover;British Protectorate of Palestine (now Israel);Asia;Israel;Asia;None;None;6
Ada E.;Yonath;British Mandate of Palestine (now Israel);Asia;Israel;Asia;None;None;6
Hiroshi;Amano;Japan;Asia;Japan;Asia;None;None;6
Youyou;Tu;China;Asia;China;Asia;None;None;6
Vitaly L.;Ginzburg;Russia;Asia;Russia;Asia;None;None;6
Shinya;Yamanaka;Japan;Asia;Japan;Asia;None;None;6
Ryoji;Noyori;Japan;Asia;Japan;Asia;None;None;6
Koichi;Tanaka;Japan;Asia;Japan;Asia;None;None;6
Akira;Suzuki;Japan;Asia;Japan;Asia;None;None;6
Satoshi;Ōmura;Japan;Asia;Japan;Asia;None;None;6
Takaaki;Kajita;Japan;Asia;Japan;Asia;None;None;6
Makoto;Kobayashi;Japan;Asia;Japan;Asia;None;None;6
Hideki;Shirakawa;Japan;Asia;Japan;Asia;None;None;6
Yoshinori;Ohsumi;Japan;Asia;Japan;Asia;None;None;6
Dan;Shechtman;British Mandate of Palestine (now Israel);Asia;Israel;Asia;None;None;6
Carlos;Saavedra Lamas;Argentina;South America;None;None;Argentina;South America;1
Pablo;Neruda;Chile;South America;None;None;Chile;South America;1
Bernardo;Houssay;Argentina;South America;Argentina;South America;Argentina;South America;1
Luis;Leloir;France;Europe;Argentina;South America;Argentina;South America;3
Friedrich;Bergius;Germany (now Poland);Europe;Germany;Europe;Argentina;South America;3
Patrick;White;United Kingdom;Europe;None;None;Australia;Oceania;3
Sir Frank Macfarlane;Burnet;Australia;Oceania;Australia;Oceania;Australia;Oceania;2
Gabriel;García Márquez;Colombia;South America;None;None;Mexico;North America;1
Gabriela;Mistral;Chile;South America;None;None;USA;North America;1
Ernest;Hemingway;USA;North America;None;None;USA;North America;4
John;Steinbeck;USA;North America;None;None;USA;North America;4
Theodore;Roosevelt;USA;North America;None;None;USA;North America;4
Emily Greene;Balch;USA;North America;None;None;USA;North America;4
William;Faulkner;USA;North America;None;None;USA;North America;4
Pearl;Buck;USA;North America;None;None;USA;North America;4
Elihu;Root;USA;North America;None;None;USA;North America;4
Woodrow;Wilson;USA;North America;None;None;USA;North America;4
Eugene;O'Neill;USA;North America;None;None;USA;North America;4
Jane;Addams;USA;North America;None;None;USA;North America;4
Norman;Borlaug;USA;North America;None;None;USA;North America;4
Derek;Walcott;Saint Lucia;North America;None;None;Saint Lucia;North America;4
George C.;Marshall;USA;North America;None;None;USA;North America;4
John R.;Mott;USA;North America;None;None;USA;North America;4
Lester Bowles;Pearson;Canada;North America;None;None;Canada;North America;4
Saul;Bellow;Canada;North America;None;None;USA;North America;4
Charles G.;Dawes;USA;North America;None;None;USA;North America;4
Alfonso;García Robles;Mexico;North America;None;None;Mexico;North America;4
William;Knowles;USA;North America;None;None;USA;North America;4
Octavio;Paz;Mexico;North America;None;None;Mexico;North America;4
Toni;Morrison;USA;North America;None;None;USA;North America;4
Kary B.;Mullis;USA;North America;None;None;USA;North America;4
Cordell;Hull;USA;North America;None;None;USA;North America;4
Frank B.;Kellogg;USA;North America;None;None;USA;North America;4
Martin Luther;King Jr.;USA;North America;None;None;USA;North America;4
Elie;Wiesel;Romania;Europe;None;None;USA;North America;3
Juan Ramón;Jiménez;Spain;Europe;None;None;Puerto Rico;North America;3
Isaac Bashevis;Singer;Russian Empire (now Poland);Europe;None;None;USA;North America;3
Joseph;Brodsky;USSR (now Russia);Asia;None;None;USA;North America;6
Baruj;Benacerraf;Venezuela;South America;USA;North America;USA;North America;1
Alan;MacDiarmid;New Zealand;Oceania;USA;North America;USA;North America;2
Robert A.;Millikan;USA;North America;USA;North America;USA;North America;4
Murray;Gell-Mann;USA;North America;USA;North America;USA;North America;4
Baruch S.;Blumberg;USA;North America;USA;North America;USA;North America;4
William;Lipscomb;USA;North America;USA;North America;USA;North America;4
Herbert A.;Hauptman;USA;North America;USA;North America;USA;North America;4
Joshua;Lederberg;USA;North America;USA;North America;USA;North America;4
John F.;Nash Jr.;USA;North America;USA;North America;USA;North America;4
John;Bardeen;USA;North America;USA;North America;USA;North America;4
Edwin G.;Krebs;USA;North America;USA;North America;USA;North America;4
Steven;Weinberg;USA;North America;USA;North America;USA;North America;4
Christian;Anfinsen;USA;North America;USA;North America;USA;North America;4
Stanford;Moore;USA;North America;USA;North America;USA;North America;4
Henry;Taube;Canada;North America;USA;North America;USA;North America;4
Philip S.;Hench;USA;North America;USA;North America;Jamaica;North America;4
Willard S.;Boyle;Canada;North America;USA;North America;Canada;North America;4
Vincent;du Vigneaud;USA;North America;USA;North America;USA;North America;4
Peyton;Rous;USA;North America;USA;North America;USA;North America;4
Robert W.;Holley;USA;North America;USA;North America;USA;North America;4
Nicholas Murray;Butler;USA;North America;USA;North America;USA;North America;4
Alfred D.;Hershey;USA;North America;USA;North America;USA;North America;4
Gertrude B.;Elion;USA;North America;USA;North America;USA;North America;4
Joseph E.;Murray;USA;North America;USA;North America;USA;North America;4
John;Bardeen;USA;North America;USA;North America;USA;North America;4
Dale T.;Mortensen;USA;North America;USA;North America;USA;North America;4
Leon M.;Lederman;USA;North America;USA;North America;USA;North America;4
George D.;Snell;USA;North America;USA;North America;USA;North America;4
Robert F.;Furchgott;USA;North America;USA;North America;USA;North America;4
Paul C.;Lauterbur;USA;North America;USA;North America;USA;North America;4
James M.;Buchanan Jr.;USA;North America;USA;North America;USA;North America;4
Melvin;Schwartz;USA;North America;USA;North America;USA;North America;4
Carl D.;Anderson;USA;North America;USA;North America;USA;North America;4
Paul;Berg;USA;North America;USA;North America;USA;North America;4
George;Wald;USA;North America;USA;North America;USA;North America;4
Theodore W.;Schultz;USA;North America;USA;North America;USA;North America;4
Merton H.;Miller;USA;North America;USA;North America;USA;North America;4
Jack;Kilby;USA;North America;USA;North America;USA;North America;4
Melvin;Calvin;USA;North America;USA;North America;USA;North America;4
William H.;Stein;USA;North America;USA;North America;USA;North America;4
Mario J.;Molina;Mexico;North America;USA;North America;Mexico;North America;4
Milton;Friedman;USA;North America;USA;North America;USA;North America;4
Douglass C.;North;USA;North America;USA;North America;USA;North America;4
Jerome;Karle;USA;North America;USA;North America;USA;North America;4
Robert;Hofstadter;USA;North America;USA;North America;USA;North America;4
James;Rainwater;USA;North America;USA;North America;USA;North America;4
Willard F.;Libby;USA;North America;USA;North America;USA;North America;4
John H.;Northrop;USA;North America;USA;North America;USA;North America;4
Ralph;Bunche;USA;North America;USA;North America;USA;North America;4
Daniel;Nathans;USA;North America;USA;North America;USA;North America;4
Raymond;Davis Jr.;USA;North America;USA;North America;USA;North America;4
Joseph;Erlanger;USA;North America;USA;North America;USA;North America;4
Arthur H.;Compton;USA;North America;USA;North America;USA;North America;4
Willis E.;Lamb;USA;North America;USA;North America;USA;North America;4
Robert;Schrieffer;USA;North America;USA;North America;USA;North America;4
Burton;Richter;USA;North America;USA;North America;USA;North America;4
Roger Y.;Tsien;USA;North America;USA;North America;USA;North America;4
George H.;Hitchings;USA;North America;USA;North America;USA;North America;4
Clifford G.;Shull;USA;North America;USA;North America;USA;North America;4
Charles B.;Huggins;Canada;North America;USA;North America;USA;North America;4
William;Vickrey;Canada;North America;USA;North America;USA;North America;4
Glenn T.;Seaborg;USA;North America;USA;North America;USA;North America;4
Robert S.;Mulliken;USA;North America;USA;North America;USA;North America;4
Julian;Schwinger;USA;North America;USA;North America;USA;North America;4
John H.;Van Vleck;USA;North America;USA;North America;USA;North America;4
Gerald M.;Edelman;USA;North America;USA;North America;USA;North America;4
Lloyd S.;Shapley;USA;North America;USA;North America;USA;North America;4
Thomas H.;Morgan;USA;North America;USA;North America;USA;North America;4
Thomas H.;Weller;USA;North America;USA;North America;USA;North America;4
Howard M.;Temin;USA;North America;USA;North America;USA;North America;4
Edwin M.;McMillan;USA;North America;USA;North America;USA;North America;4
Dickinson W.;Richards;USA;North America;USA;North America;USA;North America;4
Robert C.;Richardson;USA;North America;USA;North America;USA;North America;4
James B.;Sumner;USA;North America;USA;North America;USA;North America;4
James;Cronin;USA;North America;USA;North America;USA;North America;4
William F.;Giauque;Canada;North America;USA;North America;USA;North America;4
Julius;Axelrod;USA;North America;USA;North America;USA;North America;4
Earl W.;Sutherland Jr.;USA;North America;USA;North America;USA;North America;4
John F.;Enders;USA;North America;USA;North America;USA;North America;4
Edward;Tatum;USA;North America;USA;North America;USA;North America;4
Elinor;Ostrom;USA;North America;USA;North America;USA;North America;4
Alfred G.;Gilman;USA;North America;USA;North America;USA;North America;4
Richard P.;Feynman;USA;North America;USA;North America;USA;North America;4
Kenneth J.;Arrow;USA;North America;USA;North America;USA;North America;4
Herbert;Simon;USA;North America;USA;North America;USA;North America;4
George J.;Stigler;USA;North America;USA;North America;USA;North America;4
Arthur L.;Schawlow;USA;North America;USA;North America;USA;North America;4
Donald A.;Glaser;USA;North America;USA;North America;USA;North America;4
Sir Arthur;Lewis;British West Indies (now Saint Lucia);North America;USA;North America;Barbados;North America;4
Gary;Becker;USA;North America;USA;North America;USA;North America;4
Edward B.;Lewis;USA;North America;USA;North America;USA;North America;4
Linus;Pauling;USA;North America;USA;North America;USA;North America;4
F. Sherwood;Rowland;USA;North America;USA;North America;USA;North America;4
Richard E.;Smalley;USA;North America;USA;North America;USA;North America;4
Irwin;Rose;USA;North America;USA;North America;USA;North America;4
Edward C.;Prescott;USA;North America;USA;North America;USA;North America;4
Frederick;Reines;USA;North America;USA;North America;USA;North America;4
Robert F.;Curl Jr.;USA;North America;USA;North America;USA;North America;4
William P.;Murphy;USA;North America;USA;North America;USA;North America;4
