ID_Laureate;AwardeeDisplayName;Religion;ReligionSubgroup
751;H. Robert Horvitz;Jewish;
88;Hans Bethe;Jewish;
354;Hans Krebs;Jewish;
441;Harold E. Varmus;Jewish;
801;Harold Pinter;Jewish;
985;Harvey J. Alter;Jewish;
600;Henri Bergson;Jewish;
165;Henri Moissan;Jewish;
530;Henry Kissinger;Jewish;
262;Herbert A. Hauptman;Jewish;
252;Herbert C. Brown;Jewish;
342;Hermann J. Muller;Jewish;
408;Howard M. Temin;Jewish;
71;Igor Y. Tamm;Jewish;
721;Il´ja M. Frank;Jewish;
301;Ilya Mechnikov;Jewish;
250;Ilya Prigogine;Jewish;
761;Imre Kertész;Jewish;
781;Irwin Rose;Jewish;
654;Isaac Bashevis Singer;Jewish;
49;Isidor Isaac Rabi;Jewish;
930;J. Michael Kosterlitz;Jewish;
134;Jack Steinberger;Jewish;
884;James E. Rothman;Jewish;
30;James Franck;Jewish;
138;Jerome I. Friedman;Jewish;
263;Jerome Karle;Jewish;
266;John C. Polanyi;Jewish;
427;John R. Vane;Jewish;
664;Joseph Brodsky;Jewish;
337;Joseph Erlanger;Jewish;
433;Joseph L. Goldstein;Jewish;
560;Joseph Rotblat;Jewish;
366;Joshua Lederberg;Jewish;
85;Julian Schwinger;Jewish;
396;Julius Axelrod;Jewish;
131;K. Alex Müller;Jewish;
321;Karl Landsteiner;Jewish;
378;Konrad Bloch;Jewish;
132;Leon M. Lederman;Jewish;
77;Lev Landau;Jewish;
993;Louise Glück;Jewish;
390;Marshall W. Nirenberg;Jewish;
830;Martin Chalfie;Jewish;
889;Martin Karplus;Jewish;
147;Martin L. Perl;Jewish;
451;Martin Rodbell;Jewish;
61;Max Born;Jewish;
226;Max F. Perutz;Jewish;
225;Melvin Calvin;Jewish;
133;Melvin Schwartz;Jewish;
539;Menachem Begin;Jewish;
890;Michael Levitt;Jewish;
939;Michael Rosbash;Jewish;
432;Michael S. Brown;Jewish;
90;Murray Gell-Mann;Jewish;
668;Nadine Gordimer;Jewish;
640;Nelly Sachs;Jewish;
27;Niels Bohr;Jewish;
331;Otto Loewi;Jewish;
312;Otto Meyerhof;Jewish;
48;Otto Stern;Jewish;
169;Otto Wallach;Jewish;
322;Otto Warburg;Jewish;
912;Patrick Modiano;Jewish;
254;Paul Berg;Jewish;
302;Paul Ehrlich;Jewish;
723;Paul Greengard;Jewish;
580;Paul Heyse;Jewish;
941;Rainer Weiss;Jewish;
863;Ralph M. Steinman;Jewish;
885;Randy W. Schekman;Jewish;
526;René Cassin;Jewish;
774;Richard Axel;Jewish;
86;Richard P. Feynman;Jewish;
176;Richard Willstätter;Jewish;
435;Rita Levi-Montalcini;Jewish;
258;Roald Hoffmann;Jewish;
308;Robert Bárány;Jewish;
458;Robert F. Furchgott;Jewish;
75;Robert Hofstadter;Jewish;
878;Robert J. Lefkowitz;Jewish;
806;Roger D. Kornberg;Jewish;
988;Roger Penrose;Jewish;
413;Rosalyn Yalow;Jewish;
791;Roy J. Glauber;Jewish;
277;Rudolph A. Marcus;Jewish;
393;Salvador E. Luria;Jewish;
652;Saul Bellow;Jewish;
864;Saul Perlmutter;Jewish;
353;Selman A. Waksman;Jewish;
876;Serge Haroche;Jewish;
113;Sheldon Glashow;Jewish;
558;Shimon Peres;Jewish;
639;Shmuel Agnon;Jewish;
273;Sidney Altman;Jewish;
394;Sir Bernard Katz;Jewish;
285;Sir Harold Kroto;Jewish;
457;Stanley B. Prusiner;Jewish;
434;Stanley Cohen;Jewish;
115;Steven Weinberg;Jewish;
750;Sydney Brenner;Jewish;
350;Tadeus Reichstein;Jewish;
478;Tobias Asser;Jewish;
767;Vitaly L. Ginzburg;Jewish;
