ID_Laureate;Year;Category;LaureateNameFirst;LaureateNameLast;ParCatDegreeInstitution;ParCatDegreeCity;ParCatDegreeCountry;ParCatDegreeCityCountry;ParCatWorkInstitution;ParCatWorkCity;ParCatWorkCountry;ParCatWorkCityCountry;ParCatPrizeInstitution;ParCatPrizeCity;ParCatPrizeCountry;ParCatPrizeCityCountry
814;2007;Physics;Albert;Fert;Université Paris-Sud;Orsay;France;Orsay (France);Université Paris-Sud;Orsay;France;Orsay (France);Université Paris-Sud;Orsay;France;Orsay (France)
815;2007;Physics;Peter;GrÃ¼nberg;Technische Universität (TU);Darmstadt;Germany;Darmstadt (Germany);Helmholtz IFF-Forschungszentrum Jülich;Jülich;Germany;Jülich (Germany);Helmholtz IFF-Forschungszentrum Jülich;Jülich;Germany;Jülich (Germany)
827;2008;Physics;Makoto;Kobayashi;Nagoya University;Nagoya;Japan;Nagoya (Japan);Kyoto University;Kyoto;Japan;Kyoto (Japan);High Energy Accelerator Research Organization (KEK);Tsukuba;Japan;Tsukuba (Japan)
828;2008;Physics;Toshihide;Maskawa;Nagoya University;Nagoya;Japan;Nagoya (Japan);Kyoto University;Kyoto;Japan;Kyoto (Japan);Kyoto Sangyo University;Kyoto;Japan;Kyoto (Japan)
826;2008;Physics;Yoichiro;Nambu;University of Tokyo;Tokyo;Japan;Tokyo (Japan);University of Chicago;Chicago;United Kingdom;Chicago (United Kingdom);University of Chicago;Chicago;United States;Chicago (United States)
839;2009;Physics;Willard S.;Boyle;McGill University;Montreal;Canada;Montreal (Canada);Bell Laboratories (now: AT&T);Murray Hill;United States;Murray Hill (United States);Bell Laboratories (now: AT&T);Murray Hill;United States;Murray Hill (United States)
838;2009;Physics;Charles K.;Kao;University of London;London;United Kingdom;London (United Kingdom);Standard Telecommunication Laboratories (STL);Harlow;United Kingdom;Harlow (United Kingdom);Standard Telecommunication Laboratories (STL);Harlow;United Kingdom;Harlow (United Kingdom)
840;2009;Physics;George E.;Smith;University of Chicago;Chicago;United States;Chicago (United States);Bell Laboratories (now: AT&T);Murray Hill;United States;Murray Hill (United States);Bell Laboratories (now: AT&T);Murray Hill;United States;Murray Hill (United States)
849;2010;Physics;Andre;Geim;Institute of Solid State Physics;Chernogolovka;Russia;Chernogolovka (Russia);University of Manchester;Manchester;United Kingdom;Manchester (United Kingdom);University of Manchester;Manchester;United Kingdom;Manchester (United Kingdom)
850;2010;Physics;Konstantin;Novoselov;Radboud University Nijmegen;Nijmegen;Netherlands;Nijmegen (Netherlands);University of Manchester;Manchester;United Kingdom;Manchester (United Kingdom);University of Manchester;Manchester;United Kingdom;Manchester (United Kingdom)
